date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:38:41	139707/139707	---M-Z	200	added ('OK')	text/html	date:Wed,%2012%20Apr%202023%2010:32:12%20GMT	https://autopecasgallo.com.br/	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/index.html	(from )
14:38:42	115/115	---M-Z	200	added ('OK')	text/plain	date:Wed,%2012%20Apr%202023%2017:38:40%20GMT	https://autopecasgallo.com.br/robots.txt		(from )
14:38:42	97517/97517	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2021:28:01%20GMT	https://autopecasgallo.com.br/wp-includes/css/dist/block-library/style.min.css?ver=6.2	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/wp-includes/css/dist/block-library/style.minae48.css	(from https://autopecasgallo.com.br/)
14:38:42	291/291	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Mar%202023%2021:28:01%20GMT	https://autopecasgallo.com.br/wp-includes/css/classic-themes.min.css?ver=6.2	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/wp-includes/css/classic-themes.minae48.css	(from https://autopecasgallo.com.br/)
14:38:42	1077/1077	---M--	200	added ('OK')	application/rss+xml	date:Mon,%2003%20Apr%202023%2014:13:37%20GMT	https://autopecasgallo.com.br/feed/	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/feed/index.html	(from https://autopecasgallo.com.br/)
14:38:42	6051/6051	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Mar%202023%2023:08:18%20GMT	https://autopecasgallo.com.br/wp-content/themes/hello-elementor/style.min.css?ver=2.6.1	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/wp-content/themes/hello-elementor/style.minc141.css	(from https://autopecasgallo.com.br/)
14:38:42	15672/15672	---M-Z	200	added ('OK')	text/css	date:Wed,%2008%20Mar%202023%2023:08:18%20GMT	https://autopecasgallo.com.br/wp-content/themes/hello-elementor/theme.min.css?ver=2.6.1	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/wp-content/themes/hello-elementor/theme.minc141.css	(from https://autopecasgallo.com.br/)
14:38:43	87387/87387	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Mar%202023%2012:46:54%20GMT	https://autopecasgallo.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.11.3	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/wp-content/plugins/elementor/assets/css/frontend-lite.mina5bd.css	(from https://autopecasgallo.com.br/)
14:38:43	1187/1187	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Apr%202023%2013:55:36%20GMT	https://autopecasgallo.com.br/wp-content/cache/min/1/wp-content/uploads/elementor/css/post-8-33d78085af0c4defe482541fdea153b4.css	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/wp-content/cache/min/1/wp-content/uploads/elementor/css/post-8-33d78085af0c4defe482541fdea153b4.css	(from https://autopecasgallo.com.br/)
14:38:43	739/739	---M--	200	added ('OK')	application/rss+xml	date:Mon,%2003%20Apr%202023%2014:13:37%20GMT	https://autopecasgallo.com.br/comments/feed/	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/comments/feed/index.html	(from https://autopecasgallo.com.br/)
14:38:43	19759/19759	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Apr%202023%2013:55:36%20GMT	https://autopecasgallo.com.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min-4b322ec4fb95a695bf0939d284d75472.css	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min-4b322ec4fb95a695bf0939d284d75472.css	(from https://autopecasgallo.com.br/)
14:38:43	16223/16223	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Apr%202023%2013:55:36%20GMT	https://autopecasgallo.com.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min-2dcd2555f0b29bce481d79dd0762fbc4.css	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/wp-content/cache/min/1/wp-content/plugins/elementor/assets/lib/swiper/v8/css/swiper.min-2dcd2555f0b29bce481d79dd0762fbc4.css	(from https://autopecasgallo.com.br/)
14:38:44	11529/11529	---M-Z	200	added ('OK')	text/css	date:Wed,%2010%20Aug%202022%2012:34:56%20GMT	https://autopecasgallo.com.br/wp-content/plugins/pro-elements/assets/css/frontend-lite.min.css?ver=3.7.3	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/wp-content/plugins/pro-elements/assets/css/frontend-lite.min1ac1.css	(from https://autopecasgallo.com.br/)
14:38:44	38302/38302	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Apr%202023%2013:55:36%20GMT	https://autopecasgallo.com.br/wp-content/cache/min/1/wp-content/uploads/elementor/css/global-45bcc181d71a31e2e08eed1b6ac62cf8.css	C:/Users/user/Documents/Autopecas/autopecasgallo.com.br/wp-content/cache/min/1/wp-content/uploads/elementor/css/global-45bcc181d71a31e2e08eed1b6ac62cf8.css	(from https://autopecasgallo.com.br/)
